#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1              11               6      CASTOR_HAD  0.07030  0.07030  0.07030  0.07030   560000A6
               -1              11               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000A7
               -1              11               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000A8
               -1              11               9      CASTOR_HAD  0.03300  0.03300  0.03300  0.03300   560000A9
               -1              11              10      CASTOR_HAD  0.16830  0.16830  0.16830  0.16830   560000AA
               -1              11              11      CASTOR_HAD 15.39520 15.39520 15.39520 15.39520   560000AB
               -1              11              12      CASTOR_HAD  0.49430  0.49430  0.49430  0.49430   560000AC
               -1              11              13      CASTOR_HAD  0.23290  0.23290  0.23290  0.23290   560000AD
               -1              11              14      CASTOR_HAD  0.20810  0.20810  0.20810  0.20810   560000AE
               -1              12               1       CASTOR_EM  0.19880  0.19880  0.19880  0.19880   560000B1
               -1              12               2       CASTOR_EM  0.20250  0.20250  0.20250  0.20250   560000B2
               -1              12               3      CASTOR_HAD  0.24250  0.24250  0.24250  0.24250   560000B3
               -1              12               4      CASTOR_HAD  0.28690  0.28690  0.28690  0.28690   560000B4
               -1              12               5      CASTOR_HAD  0.37000  0.37000  0.37000  0.37000   560000B5
               -1              12               6      CASTOR_HAD  0.11240  0.11240  0.11240  0.11240   560000B6
               -1              12               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000B7
               -1              12               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000B8
               -1              12               9      CASTOR_HAD  0.07390  0.07390  0.07390  0.07390   560000B9
               -1              12              10      CASTOR_HAD  0.16330  0.16330  0.16330  0.16330   560000BA
               -1              12              11      CASTOR_HAD 16.49900 16.49900 16.49900 16.49900   560000BB
               -1              12              12      CASTOR_HAD  0.40660  0.40660  0.40660  0.40660   560000BC
               -1              12              13      CASTOR_HAD  0.06140  0.06140  0.06140  0.06140   560000BD
               -1              12              14      CASTOR_HAD  0.32100  0.32100  0.32100  0.32100   560000BE
               -1              13               1       CASTOR_EM  0.08990  0.08990  0.08990  0.08990   560000C1
               -1              13               2       CASTOR_EM  0.16450  0.16450  0.16450  0.16450   560000C2
               -1              13               3      CASTOR_HAD  0.10070  0.10070  0.10070  0.10070   560000C3
               -1              13               4      CASTOR_HAD  0.12150  0.12150  0.12150  0.12150   560000C4
               -1              13               5      CASTOR_HAD  0.06020  0.06020  0.06020  0.06020   560000C5
               -1              13               6      CASTOR_HAD  0.14040  0.14040  0.14040  0.14040   560000C6
               -1              13               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000C7
               -1              13               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000C8
               -1              13               9      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000C9
               -1              13              10      CASTOR_HAD  0.26400  0.26400  0.26400  0.26400   560000CA
               -1              13              11      CASTOR_HAD 26.10230 26.10230 26.10230 26.10230   560000CB
               -1              13              12      CASTOR_HAD  0.19820  0.19820  0.19820  0.19820   560000CC
               -1              13              13      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000CD
               -1              13              14      CASTOR_HAD  0.50190  0.50190  0.50190  0.50190   560000CE
               -1              14               1       CASTOR_EM  0.18790  0.18790  0.18790  0.18790   560000D1
               -1              14               2       CASTOR_EM  0.17060  0.17060  0.17060  0.17060   560000D2
               -1              14               3      CASTOR_HAD  0.18450  0.18450  0.18450  0.18450   560000D3
               -1              14               4      CASTOR_HAD  0.20840  0.20840  0.20840  0.20840   560000D4
               -1              14               5      CASTOR_HAD  0.09330  0.09330  0.09330  0.09330   560000D5
               -1              14               6      CASTOR_HAD  0.04100  0.04100  0.04100  0.04100   560000D6
               -1              14               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000D7
               -1              14               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000D8
               -1              14               9      CASTOR_HAD  0.03140  0.03140  0.03140  0.03140   560000D9
               -1              14              10      CASTOR_HAD  0.15970  0.15970  0.15970  0.15970   560000DA
               -1              14              11      CASTOR_HAD  7.07610  7.07610  7.07610  7.07610   560000DB
               -1              14              12      CASTOR_HAD  0.54860  0.54860  0.54860  0.54860   560000DC
               -1              14              13      CASTOR_HAD  0.35250  0.35250  0.35250  0.35250   560000DD
               -1              14              14      CASTOR_HAD  0.25820  0.25820  0.25820  0.25820   560000DE
               -1              15               1       CASTOR_EM  0.97460  0.97460  0.97460  0.97460   560000E1
               -1              15               2       CASTOR_EM  0.13240  0.13240  0.13240  0.13240   560000E2
               -1              15               3      CASTOR_HAD  0.13350  0.13350  0.13350  0.13350   560000E3
               -1              15               4      CASTOR_HAD  0.09710  0.09710  0.09710  0.09710   560000E4
               -1              15               5      CASTOR_HAD  0.13680  0.13680  0.13680  0.13680   560000E5
               -1              15               6      CASTOR_HAD  0.01170  0.01170  0.01170  0.01170   560000E6
               -1              15               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000E7
               -1              15               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000E8
               -1              15               9      CASTOR_HAD  0.01430  0.01430  0.01430  0.01430   560000E9
               -1              15              10      CASTOR_HAD  0.12850  0.12850  0.12850  0.12850   560000EA
               -1              15              11      CASTOR_HAD  0.06680  0.06680  0.06680  0.06680   560000EB
               -1              15              12      CASTOR_HAD  0.18260  0.18260  0.18260  0.18260   560000EC
               -1              15              13      CASTOR_HAD  0.18840  0.18840  0.18840  0.18840   560000ED
               -1              15              14      CASTOR_HAD  0.30270  0.30270  0.30270  0.30270   560000EE
               -1              16               1       CASTOR_EM  0.07320  0.07320  0.07320  0.07320   560000F1
               -1              16               2       CASTOR_EM  0.16770  0.16770  0.16770  0.16770   560000F2
               -1              16               3      CASTOR_HAD  0.14840  0.14840  0.14840  0.14840   560000F3
               -1              16               4      CASTOR_HAD  0.08650  0.08650  0.08650  0.08650   560000F4
               -1              16               5      CASTOR_HAD  0.06860  0.06860  0.06860  0.06860   560000F5
               -1              16               6      CASTOR_HAD  0.22180  0.22180  0.22180  0.22180   560000F6
               -1              16               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000F7
               -1              16               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000F8
               -1              16               9      CASTOR_HAD  0.02150  0.02150  0.02150  0.02150   560000F9
               -1              16              10      CASTOR_HAD  0.21900  0.21900  0.21900  0.21900   560000FA
               -1              16              11      CASTOR_HAD  0.16160  0.16160  0.16160  0.16160   560000FB
               -1              16              12      CASTOR_HAD  0.07880  0.07880  0.07880  0.07880   560000FC
               -1              16              13      CASTOR_HAD  0.23850  0.23850  0.23850  0.23850   560000FD
               -1              16              14      CASTOR_HAD  0.17600  0.17600  0.17600  0.17600   560000FE
